major,major_name,required_classes
aerospaceengineering_bs,Aerospace Engineering,"['CHEM1A', 'orENGR1A', 'CHEM1LE', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'PHYSICS52A', 'ENGR54', 'ENGRMAE10', 'ENGRMAE30', 'ENGRMAE60', 'orEECS70A', 'ENGRMAE80', 'ENGRMAE91', 'ENGRMAE106', 'ENGRMAE108', 'ENGRMAE112', 'ENGRMAE130A', 'ENGRMAE130B', 'ENGRMAE130C', 'ENGRMAE136', 'ENGRMAE146', 'ENGRMAE150', 'ENGRMAE150L', 'ENGRMAE157', 'ENGRMAE158', 'ENGRMAE159', 'ENGRMAE170', 'ENGRMAE175', 'ENGR7A', 'ENGR7B', 'ENGRCEE125', 'ENGRCEE160', 'ENGRCEE165', 'EECS152A', 'EECS152B', 'MSE190', 'BME111', 'BME120', 'BME121', 'STATS67', 'COMPSCI131', 'PHYSICS111A', 'PHYSICS111B', 'PHYSICS112A', 'PHYSICS112B', 'ECON20A', 'orECON23', 'ENGR190W']"
africanamericanstudies_ba,African American Studies,"['AFAM40A', 'AFAM40B', 'AFAM40C', 'AFAM221', 'AFAM221', 'AFAM222', 'AFAM222', 'AFAM223', 'AFAM224', 'AFAM225', 'AFAM228', 'AFAM245', 'AFAM248', 'AFAM264', 'AFAM264', 'AFAM267', 'AFAM268', 'AFAM283', 'AFAM284', 'AFAM285', 'AFAM301', 'AFAM302', 'AFAM303', 'AFAM304', 'AFAM305', 'AFAM306', 'AFAM307', 'AFAM308', 'AFAM309', 'AFAM162W']"
anthropology_ba,Antrhopology,"['ANTHRO2A', 'ANTHRO2B', 'ANTHRO2C', 'ANTHRO2D', 'ANTHRO2B', 'ANTHRO2C', 'ANTHRO2D', 'ANTHRO100A', 'ANTHRO100B', 'ANTHRO180AW']"
appliedphysics_bs,Applied Physics,"['MATH2A', 'orMATH5A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS50', 'PHYSICS61A', 'orPHYSICS51A', 'PHYSICS111A', 'PHYSICS112A', 'PHYSICS113A', 'PHYSICS115A', 'PHYSICS53', 'I&CSCI45C', 'MATH9', 'EECS10', 'EECS12', 'PHYSICS60', 'CHEM1C', 'ENGRMAE91', 'CHEM1LC', 'CHEM1LD', 'CHEM51LB', 'CHEM51LC', 'ENGR7A', 'ENGR7B', 'EECS70LA', 'EECS70LB', 'PHYSICS106W', 'PHYSICS120', 'PHYSICS121W', 'PHYSICS139', 'PHYSICS193', 'PHYSICS196C', 'PHYSICS194', 'PHYSCI139W', 'EDUC143BW', 'BIOSCI97', 'BIOSCI98', 'BIOSCI99', 'CHEM1LC', 'CHEM1LD', 'CHEM51A', 'CHEM51B', 'CHEM1A', 'CHEM1B', 'CHEM1C', 'CHEM1LC', 'CHEM1LD', 'CHEM51B', 'CHEM51A', 'BIOSCI97', 'BIOSCI98', 'BIOSCI99', 'EECS70A', 'EECS70B', 'EECS70LB', 'EECS170A', 'EECS170LA', 'EECS170B', 'EECS170LB', 'EECS170C', 'EECS170LC', 'EECS174', 'EECS188', 'ENGRMAE120', 'ENGRMAE130A', 'ENGRMAE147', 'EECS70A', 'EECS70B', 'EECS70LB', 'EECS170A', 'EECS170LA', 'EECS170B', 'EECS170LB', 'PHYSICS106W', 'EECS188', 'EECS170C', 'EECS170LC']"
art_ba,Art,"['ART1A', 'ART1B', 'ART1C', 'ART9A', 'ART11A', 'ARTHIS40A', 'ARTHIS40B', 'ARTHIS40C', 'ARTHIS42A', 'ARTHIS42B', 'ARTHIS42C', 'ARTHIS42D']"
arthistory_ba,Art History,"['ARTHIS30', 'ARTHIS40A', 'ARTHIS40B', 'ARTHIS40C', 'ARTHIS42A', 'ARTHIS42B', 'ARTHIS42C', 'ARTHIS42D', 'ARTHIS42E', 'ARTHIS44', 'ARTHIS55', 'ARTHIS155A', 'ARTHIS110', 'ARTHIS111B', 'ARTHIS114', 'ARTHIS155B', 'ARTHIS151B', 'ARTHIS165A', 'ARTHIS134C', 'ARTHIS134D', 'ARTHIS134E', 'ARTHIS145A', 'ARTHIS151C', 'ARTHIS156', 'ARTHIS164A', 'ARTHIS164E', 'ARTHIS165B', 'ARTHIS165C', 'ARTHIS140A', 'ARTHIS140B', 'ARTHIS145B', 'ARTHIS162C', 'ARTHIS163', 'ARTHIS164B', 'ARTHIS164D', 'ARTHIS190W', 'ARTHIS198']"
asianamericanstudies_ba,Asian American Studies,"['ASIANAM50', 'orASIANAM51', 'ASIANAM52', 'orASIANAM53', 'ASIANAM54', 'orASIANAM55', 'ASIANAM100W']"
biochemistryandmolecularbiology_bs,Biochemsitry and Molecular Biology,"['CHEM128', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'PHRMSCI170A', 'PHRMSCI171', 'CHEM128', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'PHRMSCI170A', 'PHRMSCI171']"
biologicalsciences_bs,Biological Sciences,"['CHEM132A', 'CHEM132B', 'CHEM132C', 'PHRMSCI170A', 'PHRMSCI170B', 'PHRMSCI171', 'PHRMSCI173', 'PHRMSCI174', 'PHRMSCI177', 'BIOSCI14', 'BIOSCI101', 'EARTHSS1', 'EARTHSS7', 'PHYSICS20A', 'PHYSICS20B', 'EDUC108', 'EDUC124', 'EDUC128', 'EDUC131', 'EDUC173']"
biologyeducation_bs,Biology Education,"['PHRMSCI170A', 'PHRMSCI170B', 'PHRMSCI171', 'PHRMSCI173', 'PHRMSCI174', 'CHEM177', 'BIOSCI14', 'BIOSCI101', 'BIOSCI108', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'BIOSCI14', 'BIOSCI101', 'BIOSCI108', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'LPS60', 'BIOSCI101', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'EARTHSS1', 'EARTHSS7', 'PHYSICS20A', 'BIOSCI101', 'EDUC143AW', 'EDUC148']"
biomedicalengineering_bs,Biomedical Engineering,"['CHEM1LC', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'STATS8', 'BME1', 'BME50A', 'BME50B', 'BME111', 'BME120', 'BME121', 'BME130', 'BME140', 'BME150', 'BME170', 'ENGR190W', 'BME135', 'BME136', 'BME137', 'BME138', 'EECS180A', 'BME142', 'BME147', 'BME148', 'MSE141', 'ENGRMAE153']"
biomedicalengineeringpremedical_bs,Biomedical Engineering Premedical,"['CHEM1LC', 'CHEM1LD', 'CHEM51LB', 'CHEM51LC', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'BIOSCI97', 'BIOSCI98', 'BIOSCI99', 'BIOSCI100', 'BME1', 'BME110A', 'BME110B', 'BME111', 'BME120', 'BME121', 'BME130', 'BME150', 'BME135', 'BME136', 'BME137', 'BME138', 'EECS180A', 'BME142', 'BME147', 'BME148', 'MSE141', 'ENGRMAE153']"
businessadministration_ba,Business Administration,"['MATH2A', 'MATH2B', 'MGMT1', 'MGMT4A', 'orECON20A', 'MGMT4B', 'orECON20B', 'MGMT7', 'MGMT30A', 'MGMT30B', 'MGMT101', 'MGMT102', 'MGMT105', 'MGMT107', 'MGMT109', 'MGMT110', 'MGMT191W', 'MGMT131A', 'MGMT131B', 'MGMT131C', 'MGMT132A', 'MGMT133', 'MGMT134', 'MGMT137', 'MGMT138', 'MGMT194', 'MGMT141', 'MGMT144', 'MGMT147', 'MGMT149', 'MGMT171', 'MGMT173', 'MGMT174', 'MGMT178', 'MGMT150', 'MGMT151', 'MGMT154', 'MGMT155', 'MGMT189', 'MGMT182', 'MGMT196', 'MGMT125', 'MGMT126', 'MGMT128', 'MGMT129', 'MGMT128', 'MGMT144', 'MGMT154']"
businesseconomics_ba,Business Economics,"['ECON20A', 'ECON20B', 'ECON15A', 'ECON15B', 'ECON25', 'MATH2A', 'MATH2B', 'ECON122A', 'ECON122B', 'ECON125', 'ECON131A', 'ECON132A', 'ECON134A', 'ECON134B', 'ECON135', 'ECON142A', 'ECON143', 'ECON161A', 'ECON161B', 'ECON167', 'ECON140', 'ECON145L', 'ECON147A', 'ECON147B', 'ECON148', 'ECON115', 'ECON151A', 'ECON165']"
businessinformationmanagement_bs,Business Information Management,"['I&CSCI31', 'I&CSCI32', 'I&CSCI33', 'I&CSCI32A', 'I&CSCI33', 'I&CSCI45J', 'MATH2A', 'MATH2B', 'I&CSCI6D', 'I&CSCI6N', 'orMATH3A', 'STATS7', 'orSTATS8', 'orSTATS67', 'ECON20A', 'ECON20B', 'MGMT30A', 'MGMT30B', 'MGMT101', 'MGMT102', 'MGMT105', 'MGMT107', 'MGMT109', 'MGMT110', 'MGMT173', 'MGMT178', 'MGMT189', 'STATS110']"
chemicalengineering_bs,Chemical Engineering,"['CHEM1A', 'orENGR1A', 'CBE105', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'CBE1', 'CBE100', 'CBE110', 'CBE130', 'CBE140A', 'CBE140B', 'CBE145', 'CBE150A', 'CBE150B', 'CBE160', 'ENGR54', 'ENGRMAE10', 'ENGR190W', 'CBE161', 'CBE163', 'BIOSCI98', 'BIOSCI99', 'BME50A', 'BME50B', 'BME114', 'BME121', 'BME132', 'BME160', 'CBE199', 'CBE172', 'CBE175', 'CBE176', 'CBE199', 'MSE141', 'ENGRCEE160', 'ENGRCEE162', 'ENGRCEE163', 'ENGRCEE164', 'ENGRCEE165', 'ENGRMAE110', 'ENGRMAE114', 'ENGRMAE117', 'ENGRMAE164', 'MSE158', 'MSE171', 'CBE181', 'CBE183', 'CBE187', 'CBE199', 'MSE69', 'MSE141', 'MSE155', 'MSE158', 'MSE164', 'MSE174', 'ENGRMAE155']"
chemistry_bs,Chemistry,"['PHYSICS7LC', 'PHYSICS7LD', 'CHEM5', 'CHEM107', 'CHEM107L', 'CHEM152', 'BIOSCI98', 'BIOSCI99', 'CBE110', 'CBE130', 'CBE145', 'CBE161', 'CBE181', 'CBE183', 'CHEM100', 'CHEM125', 'CHEM127', 'CHEM128', 'CHEM133', 'CHEM138', 'CHEM141', 'CHEM145A', 'CHEM145B', 'CHEM150', 'CHEM177', 'EARTHSS142', 'EARTHSS144', 'EARTHSS171', 'ENGRCEE162', 'ENGRMAE114', 'ENGRMAE164', 'MSE141', 'MSE164', 'PHRMSCI170A', 'PHRMSCI170B', 'PHRMSCI171', 'PHYSICS111A', 'PHYSICS111B', 'PHYSICS112A', 'PHYSICS112B', 'PUBHLTH171', 'CBE140A', 'CBE140B', 'CHEM128L', 'CHEM133L', 'CHEM150L', 'CHEM153', 'CHEM156', 'CHEM160', 'CHEM177L', 'CHEM180', 'CHEM197', 'EARTHSS114', 'MATH2A', 'MATH2B', 'MATH2D', 'CHEM11', 'CHEM5', 'PHYSICS7E', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'CHEM107', 'CHEM152', 'CHEM107L', 'CHEM128', 'CHEM128L', 'CHEM153', 'CHEM156', 'CHEM160', 'CHEM180', 'CHEM125', 'CHEM127', 'CHEM133', 'CHEM133L', 'CHEM138', 'CHEM141', 'CHEM150', 'CHEM150L', 'CHEM177', 'CHEM177L', 'BIOSCI97', 'BIOSCI98', 'BIOSCI99', 'CHEM128', 'CHEM128L', 'CHEM145A', 'orEARTHSS142', 'EARTHSS144', 'CHEM141', 'CHEM153', 'CHEM128', 'CHEM128L', 'CHEM160', 'CHEM177', 'CHEM177L', 'CHEM133', 'CHEM133L', 'CHEM153', 'CHEM125', 'CHEM127', 'CHEM156', 'CHEM160', 'CHEM193', 'EDUC55', 'PHYSCI5', 'PHYSCI105', 'MATH3A', 'MATH3D', 'PHYSICS50', 'CHEM150', 'CHEM150L', 'PHYSICS111A', 'PHYSICS112A', 'PHYSICS111B', 'PHYSICS112B', 'PHYSICS113A', 'PHYSICS113B', 'PHYSICS113C', 'PHYSICS115A', 'PHYSICS125A', 'PHYSICS125B', 'MATH105A', 'MATH105LA', 'MATH105B', 'MATH105LB', 'STATS7', 'STATS110', 'STATS111', 'STATS112', 'EECS12', 'EECS20', 'EECS22', 'EECS22L', 'CHEM5', 'CHEM107L', 'CHEM152', 'MATH2A', 'MATH2B', 'MATH2D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'PHYSICS7E', 'MATH3A', 'MATH3D', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'CHEM107', 'PHYSICS112A', 'PHYSICS113A', 'PHYSICS111A', 'EECS20', 'EECS12', 'PHYSICS50', 'CHEM150', 'CHEM150L', 'MATH105A', 'MATH105LA', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'CHEM107', 'STATS7', 'PHYSICS50', 'MATH105A', 'MATH105LA', 'EECS20', 'EECS12', 'CHEM150', 'CHEM150L', 'PHYSICS113A', 'PHYSICS111A', 'PHYSICS112A', 'EECS22L', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'LPS60', 'MATH2A', 'MATH2B', 'MATH2D', 'PHYSCI5', 'CHEM5', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'PHYSCI105', 'CHEM193', 'LPS60', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'CHEM107', 'CHEM152', 'CHEM107L', 'EDUC55', 'EDUC143AW', 'EDUC148', 'PHYSICS7E', 'EDUC143BW', 'EDUC109', 'EDUC158', 'EDUC158']"
chicanolatinostudies_ba,Chicano Latino Studies,"['SPANISH2A', 'EDUC124']"
chinesestudies_ba,Chinese Studies,"['CHINESE3C', 'EAS15C', 'EAS190', 'EAS130', 'EAS140', 'KOREAN101A', 'HISTORY173G', 'EAS120', 'EAS123', 'JAPANSE101A', 'JAPANSE101B', 'HISTORY172G', 'SOCSCI178E', 'ARTHIS151B', 'ARTHIS151C', 'CHINESE40', 'CHINESE100A', 'CHINESE100B', 'CHINESE100C', 'CHINESE115', 'EAS110', 'INTLST176C', 'INTLST158D', 'POLSCI151B', 'HISTORY171D', 'HISTORY171E', 'HISTORY171E', 'HISTORY171G', 'SOCIOL172', 'SOCIOL175B', 'CHINESE2C', 'HISTORY171D', 'HISTORY171E', 'EAS15C', 'EAS190', 'EAS130', 'EAS140', 'KOREAN101A', 'HISTORY173G', 'EAS120', 'EAS123', 'JAPANSE101A', 'JAPANSE101B', 'HISTORY172G', 'SOCSCI178E', 'ARTHIS151B', 'ARTHIS151C', 'CHINESE40', 'CHINESE100A', 'CHINESE100B', 'CHINESE100C', 'CHINESE115', 'EAS110', 'INTLST176C', 'INTLST158D', 'POLSCI151B', 'HISTORY171D', 'HISTORY171E', 'HISTORY171G', 'SOCIOL172', 'SOCIOL175B']"
civilengineering_bs,Civil Engineering,"['CHEM1A', 'ENGR1A', 'CHEM1B', 'ENGRCEE11', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH3A', 'MATH3D', 'MATH2E', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'ENGR7A', 'ENGR7B', 'CHEM1LE', 'CHEM1C', 'CHEM1LC', 'EECS70A', 'ENGR54', 'ENGRMAE80', 'ENGRMAE91', 'ENGRCEE20', 'ENGRCEE21', 'ENGRCEE30', 'ENGRCEE81A', 'ENGRCEE81B', 'ENGRCEE110', 'ENGRCEE111', 'ENGRCEE121', 'ENGRCEE130', 'ENGRCEE130L', 'ENGRCEE150', 'ENGRCEE150L', 'ENGRCEE151A', 'ENGRCEE151C', 'ENGRCEE160', 'ENGRCEE170', 'ENGRCEE171', 'ENGRCEE40', 'ECON20A', 'ECON20B', 'ENGR190W', 'ENGRCEE60', 'orUPPP8', 'ENGRCEE122', 'ENGRCEE123', 'ENGRCEE149', 'ENGRCEE151B', 'ENGRCEE152', 'ENGRCEE155', 'ENGRCEE156', 'ENGRCEE163', 'ENGRCEE164', 'ENGRCEE165', 'ENGRCEE168', 'ENGRCEE169', 'ENGRCEE172', 'ENGRCEE173', 'ENGRCEE176', 'ENGRCEE178', 'ENGRCEE163', 'ENGRCEE164', 'ENGRCEE165', 'ENGRCEE166', 'ENGRCEE168', 'ENGRCEE169', 'ENGRCEE172', 'ENGRCEE173', 'ENGRCEE176', 'ENGRCEE178', 'ENGRCEE155', 'ENGRCEE149', 'ENGRCEE151B', 'ENGRCEE152', 'ENGRCEE156', 'ENGRMAE155', 'ENGRMAE157', 'ENGRCEE122', 'ENGRCEE123', 'EECS70A', 'ENGRCEE124', 'ENGRCEE125', 'ENGRMAE170', 'ENGRMAE171']"
classics_ba,Classics,"['LATIN103', 'LATIN104', 'CLASSIC140', 'CLASSIC150', 'CLASSIC160', 'CLASSIC170', 'CLASSIC176']"
cognitivesciences_bs,Cognitive Sciences,"['MATH2A', 'MATH2B', 'COGS106', 'COGS107', 'COGS108', 'PSYCH14M', 'orCOGS14P', 'COGS109', 'PSYCH112A', 'PSYCH112LA', 'PSYCH112BW', 'PSYCH112LB', 'PSYCH112C', 'PSYCH112LC', 'COGS112P', 'COGS112LP', 'COGS112R', 'COGS112LR', 'BIOSCI35', 'BIOSCI36', 'BIOSCI37', 'BIOSCI38', 'COGS14P', 'LSCI3', 'LSCI10', 'LSCI20', 'LSCI51', 'I&CSCI31', 'I&CSCI32', 'I&CSCI33', 'LPS30', 'LPS31', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS15', 'PSYCH14M', 'STATS7', 'STATS110', 'STATS111', 'STATS112', 'PSYCH130A', 'PSYCH140C', 'PSYCH140J', 'PSYCH140L', 'PSYCH140M', 'PSYCH150', 'PSYCH160A', 'PSYCH160D', 'COMPSCI171', 'COMPSCI178', 'COMPSCI183', 'LSCI102', 'LSCI111', 'LSCI121', 'PSYCH120A', 'PSYCH120D', 'PSYCH120H', 'PSYCH120P', 'PSYCH131A', 'PSYCH131B', 'PSYCH156A', 'PSYCH161', 'PSYCH161H', 'PSYCH162N']"
comparativeliterature_ba, Comparative Literature,"['COMLIT60A', 'COMLIT60B', 'COMLIT60C', 'COMLIT190W', 'COMLIT105', 'COMLIT130', 'COMLIT132', 'COMLIT140', 'COMLIT142', 'COMLIT143', 'COMLIT144', 'COMLIT100A', 'COMLIT105', 'COMLIT107', 'COMLIT123', 'COMLIT150']"
